,Company_link,company_name,flag
0,/company/20MICRONS,20MICRONS,1
2,/company/21STCENMGM,21STCENMGM,1
3,/company/360ONE,360ONE,1
5,/company/3IINFOLTD,3IINFOLTD,1
6,/company/3MINDIA,3MINDIA,1
7,/company/3PLAND,3PLAND,1
8,/company/3RDROCK,3RDROCK,1
10,/company/5PAISA,5PAISA,1
11,/company/63MOONS,63MOONS,1
16,/company/A2ZINFRA,A2ZINFRA,1
18,/company/AAATECH,AAATECH,1
22,/company/AAKASH,AAKASH,1
27,/company/AAREYDRUGS,AAREYDRUGS,1
29,/company/AARON,AARON,1
31,/company/AARTECH,AARTECH,1
32,/company/AARTIDRUGS,AARTIDRUGS,1
33,/company/AARTIIND,AARTIIND,1
34,/company/AARTIPHARM,AARTIPHARM,1
35,/company/AARTISURF,AARTISURF,1
36,/company/AARVEEDEN,AARVEEDEN,1
37,/company/AARVI,AARVI,1
41,/company/AATMAJ,AATMAJ,1
42,/company/AAVAS,AAVAS,1
44,/company/ABCOTS,ABCOTS,1
45,/company/ABINFRA,ABINFRA,1
46,/company/ABAN,ABAN,1
48,/company/AHL,AHL,1
50,/company/ABB,ABB,1
51,/company/ABBOTINDIA,ABBOTINDIA,1
60,/company/AILIMITED,AILIMITED,1
62,/company/ABMINTLLTD,ABMINTLLTD,1
64,/company/ACC,ACC,1
68,/company/ACCELYA,ACCELYA,1
70,/company/ACCORD,ACCORD,1
71,/company/ACCURACY,ACCURACY,1
75,/company/ACEINTEG,ACEINTEG,1
86,/company/ACE,ACE,1
89,/company/ADANIENSOL,ADANIENSOL,1
90,/company/ADANIENT,ADANIENT,1
91,/company/ADANIGREEN,ADANIGREEN,1
92,/company/ADANIPORTS,ADANIPORTS,1
93,/company/ADANIPOWER,ADANIPOWER,1
94,/company/ATGL,ATGL,1
95,/company/AWL,AWL,1
99,/company/KRONECOMM,KRONECOMM,1
104,/company/ADFFOODS,ADFFOODS,1
109,/company/ABCAPITAL,ABCAPITAL,1
110,/company/ABFRL,ABFRL,1
111,/company/BIRLAMONEY,BIRLAMONEY,1
112,/company/ABSLAMC,ABSLAMC,1
115,/company/ADITYASPIN,ADITYASPIN,1
122,/company/ADORWELD,ADORWELD,1
124,/company/ADROITINFO,ADROITINFO,1
128,/company/AMTL,AMTL,1
131,/company/ADVENZYMES,ADVENZYMES,1
132,/company/ADVANIHOTR,ADVANIHOTR,1
136,/company/AEGISCHEM,AEGISCHEM,1
137,/company/AEROFLEX,AEROFLEX,1
139,/company/AETHER,AETHER,1
142,/company/AFFLE,AFFLE,1
145,/company/AGUL,AGUL,1
147,/company/AGARWALFT,AGARWALFT,1
149,/company/AGARIND,AGARIND,1
151,/company/AGI,AGI,1
154,/company/AGNI,AGNI,1
156,/company/AGRITECH,AGRITECH,1
159,/company/AGROPHOS,AGROPHOS,1
160,/company/ATFL,ATFL,1
161,/company/AGSTRA,AGSTRA,1
163,/company/AHIMSA,AHIMSA,1
164,/company/AHLADA,AHLADA,1
165,/company/AHLUCONT,AHLUCONT,1
168,/company/AICHAMP,AICHAMP,1
169,/company/AIAENG,AIAENG,1
170,/company/AIMCOPEST,AIMCOPEST,1
171,/company/AIRAN,AIRAN,1
172,/company/AIROLAM,AIROLAM,1
177,/company/AJANTPHARM,AJANTPHARM,1
183,/company/AJMERA,AJMERA,1
184,/company/AJOONI,AJOONI,1
185,/company/AJRINFRA,AJRINFRA,1
191,/company/AKASH,AKASH,1
194,/company/AKG,AKG,1
196,/company/AKI,AKI,1
200,/company/AKSHOPTFBR,AKSHOPTFBR,1
202,/company/AKSHAR,AKSHAR,1
203,/company/AKSHARCHEM,AKSHARCHEM,1
206,/company/AKZOINDIA,AKZOINDIA,1
209,/company/ALANKIT,ALANKIT,1
210,/company/ALBERTDAVD,ALBERTDAVD,1
212,/company/ALEMBICLTD,ALEMBICLTD,1
213,/company/APLLTD,APLLTD,1
220,/company/ALFREDHERB,ALFREDHERB,1
222,/company/ALICON,ALICON,1
225,/company/ALKALI,ALKALI,1
226,/company/ALKEM,ALKEM,1
228,/company/ALKYLAMINE,ALKYLAMINE,1
229,/company/ALLETEC,ALLETEC,1
230,/company/ACLGATI,ACLGATI,1
231,/company/ALLCARGO,ALLCARGO,1
232,/company/ATL,ATL,1
235,/company/ADSL,ADSL,1
238,/company/ALLSEC,ALLSEC,1
239,/company/ALMONDZ,ALMONDZ,1
240,/company/ALOKINDS,ALOKINDS,1
242,/company/ALPA,ALPA,1
244,/company/ALPHAGEO,ALPHAGEO,1
247,/company/ALPINEHOU,ALPINEHOU,1
248,/company/ALPSINDUS,ALPSINDUS,1
259,/company/ARE&M,ARE&M,1
261,/company/AMARJOTHI,AMARJOTHI,1
264,/company/AMBASARABH,AMBASARABH,1
